"PolicyName","PolicyId","State","IncludedUsers","ExcludedUsers","IncludedGroups","ExcludedGroups","IncludedRoles","ExcludedRoles","IncludeGuestsOrExternalUsers","ExcludeGuestsOrExternalUsers","UserRiskLevels","SignInRiskLevels","InsiderRiskLevels","IncludeLocations","ExcludeLocations","ClientAppTypes","AuthFlowTransferMethods","GrantOperator","GrantBuiltInControls","GrantTermsOfUse","GrantCustomAuthFactors","SessionControls","SignInFrequency"
"Intune Enrollment MFA","86843f6c-f137-4cde-a435-8690ddadaae4","disabled","All","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Example Microsoft Exchange","eed4e426-9811-4cc4-b542-b238988a8dd5","disabled","All","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Admin MFA Example","fcab6041-b177-443c-875b-e082c2a1500f","disabled","","0cf4497f-6208-4922-a5db-fa498204b5c2","0ab6b413-a1ca-4bf4-9e00-5db61957c7eb;718d4892-12b6-40c8-9726-8bb6b3bca7f6","","62e90394-69f5-4237-9190-012177145e10;7495fdc4-34c4-4d15-a289-98788ce399fd;3a2c62db-5318-420d-8d74-23affee5d9d5;17315797-102d-40b4-93e0-432062caca18;158c047a-c907-4556-b7ef-446551a6b5f7;b0f54661-2d74-4c50-afa3-1ec803f12efe;cf1c38e5-3621-4004-a7cb-879624dced7c;fe930be7-5e62-47db-91af-98c3a49a38b1;f023fd81-a637-4b56-95fd-791ac0226033;9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3;b1be1c3e-b65d-4f19-8427-f6fa0d97feb9;d29b2b05-8046-44ba-8758-1e26182fcf32;44367163-eba1-44c3-98af-f5787879f96a;29232cdf-9323-42fd-ade2-1d097af3e4de;95e79109-95c0-4d8e-aee3-d01accf2d47b;790c1fb9-7f7d-4f88-86a1-ef1f95c05c1b;729827e3-9c14-49f7-bb1b-9608f156bbb8;a9ea8996-122f-4c74-9520-8edcd192826c;e8611ab8-c189-46e8-94e1-60213ab1f814;4a5d8f65-41da-4de4-8968-e035b65339cf;194ae4cb-b126-40b2-bd5b-6091b380977d;5d6b6bb7-de71-4623-b4af-96380a352509;f28a1f50-f6e7-4571-818b-6a12f2af6b6c;75941009-915a-4869-abe7-691bff18279e","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","high;medium","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"External Users MFA (B2B)","242c102a-3f5d-44ff-b096-5d323a5e2ded","enabled","GuestsOrExternalUsers","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"MFA for External Users","00383887-756c-47e2-afea-bfdd65b0523a","enabled","GuestsOrExternalUsers","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","All","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Exchange MAM CA","08ebbd3f-9beb-448e-aaf0-1f6050570b5e","enabled","","","ceb4fd8a-be6b-4e00-a8d1-4694323b3d74","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","compliantApplication","Not Configured","Not Configured","Configured",""
"Test Blocking Policy","e87ef283-64a1-4592-9d7b-df8823452fb2","disabled","d09b4b2c-253c-421f-803d-502418c6c8fa","","","","","62e90394-69f5-4237-9190-012177145e10","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","block","Not Configured","Not Configured","Configured",""
"2 - Block Legacy Auth and ActiveSync – All Platforms","a3390c77-a224-43f9-a45d-07d8a9b0211e","enabled","d09b4b2c-253c-421f-803d-502418c6c8fa","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","block","Not Configured","Not Configured","Configured",""
"5 – Block ActiveSync – All Devices All Platforms","5d13b1ae-2d5e-42c6-9d23-79c2b1b8312a","enabled","d09b4b2c-253c-421f-803d-502418c6c8fa","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","approvedApplication","Not Configured","Not Configured","Configured",""
"6 - Block Unsupported Platforms","e566a89f-b2e0-4ad0-8fa8-c2929c34ea5a","enabled","d09b4b2c-253c-421f-803d-502418c6c8fa","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","block","Not Configured","Not Configured","Configured",""
"4B All Apps/Excahgne Excluded | Intune Enrolled","f6aa0467-c639-4aae-950c-309e979e5e31","enabled","d09b4b2c-253c-421f-803d-502418c6c8fa","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","AND","compliantDevice;approvedApplication","Not Configured","Not Configured","Configured",""
"3B - Exchange | Intune Enrolled","1c982c41-657d-4321-8ba7-ebc49de70df2","enabled","d09b4b2c-253c-421f-803d-502418c6c8fa","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","AND","compliantDevice;approvedApplication","Not Configured","Not Configured","Configured",""
"Alfaro TEST","074e1b22-7432-4a35-8420-9df6021f3020","enabledForReportingButNotEnforced","bdd83aaf-147e-479a-a291-c362cd6c9766","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","All","AllTrusted","","","OR","mfa","Not Configured","Not Configured","Configured",""
"1 - WIN-MAC - All Apps with Exceptions","08b8c10e-ff03-4f4e-aa5c-40548edd2606","enabled","d09b4b2c-253c-421f-803d-502418c6c8fa;81130f8b-033a-4b77-ae9e-180fc500ee09","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa;compliantDevice;domainJoinedDevice","Not Configured","Not Configured","Configured",""
"002 - Require MFA for OWA","4153b4d8-d4f3-4a18-97ec-9f9b69fdbd75","enabled","eddd41fd-438a-4b87-83eb-d8ff90a8d765","901c10f2-b554-4119-86d5-41f9962b9fd9;7381844d-13ff-4ddc-a7af-a909b8ee8944","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"003 - User Risk Based CA","d7529caf-3ceb-4487-acf7-3981a9142105","enabledForReportingButNotEnforced","All","","","","","62e90394-69f5-4237-9190-012177145e10","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","high","Not Configured","Not Configured","","","","","AND","mfa;passwordChange","Not Configured","Not Configured","Configured",""
"MFA test - No License","2a1328ca-acf3-4038-bfcf-686a799c5007","disabled","","","a098d71a-5f05-4276-ae51-a5a2796e2a48","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"Require Trusted Devices for MFA enrollment","7aeabb2d-eb34-4497-bc2d-c951d98b0693","enabled","978e2bac-69b3-4702-ac77-6d1ddec9b794","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa;compliantDevice;domainJoinedDevice","Not Configured","Not Configured","Configured",""
"Mary Mcfly ALL MFA","ab863e73-1da6-45f2-b479-3e35f8699591","enabled","978e2bac-69b3-4702-ac77-6d1ddec9b794","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
"CA1011 - T&C","4a08d762-3ab2-4e62-aacf-2623f9f1533e","enabled","aefc50c5-a5ce-4f9e-8ff1-5bce9965b087;0cf4497f-6208-4922-a5db-fa498204b5c2;6f938f27-62e4-435c-acd5-1f20725486d4","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","Not Configured","f4dc3c3a-e349-4530-a9fa-625266aca5bc","Not Configured","Configured",""
"Wagner Test","e1daa49b-a837-48c3-ae04-ea49fc75b995","disabled","d686d8c0-c668-4a29-a31a-3f4cb55cb68f","","","","","","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphConditionalAccessGuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","","","","","OR","mfa","Not Configured","Not Configured","Configured",""
